Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2015-01-03,Splash Mountain,8.0,29.0
2015-01-03,The Many Adventures of Winnie the Pooh,7.0,20.0
2015-01-03,Disneyland Monorail,5.0,10.0
2015-01-03,Mark Twain Riverboat,5.0,5.0
2015-01-03,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-03,Sailing Ship Columbia,5.0,5.0
2015-01-03,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-04,Meet Hiro and Baymax in Tomorrowland,108.0,135.0
2015-01-04,Peter Pan's Flight,49.0,55.0
2015-01-04,Alice in Wonderland,32.0,40.0
2015-01-04,Haunted Mansion Holiday,31.0,70.0
2015-01-04,Matterhorn Bobsleds,29.0,50.0
2015-01-04,Space Mountain,28.0,61.0
2015-01-04,Indiana Jones™ Adventure,28.0,58.0
2015-01-04,"""it's a small world"" Holiday",25.0,45.0
2015-01-04,Jungle Cruise,24.0,45.0
2015-01-04,Roger Rabbit's Car Toon Spin,22.0,70.0
2015-01-04,Dumbo the Flying Elephant,20.0,25.0
2015-01-04,Big Thunder Mountain Railroad,20.0,57.0
2015-01-04,Storybook Land Canal Boats,18.0,25.0
2015-01-04,Star Tours - The Adventures Continue,18.0,37.0
2015-01-04,Finding Nemo Submarine Voyage,18.0,30.0
2015-01-04,Pirates of the Caribbean,17.0,35.0
2015-01-04,Casey Jr. Circus Train,17.0,20.0
2015-01-04,Mr. Toad's Wild Ride,16.0,20.0
2015-01-04,Fantasy Faire,16.0,30.0
2015-01-04,Mad Tea Party,15.0,20.0
2015-01-04,Astro Orbitor,14.0,25.0
2015-01-04,Snow White's Enchanted Wish,13.0,20.0
2015-01-04,Pinocchio's Daring Journey,13.0,15.0
2015-01-04,Buzz Lightyear Astro Blasters,13.0,59.0
2015-01-04,Chip 'n' Dale's GADGETcoaster,12.0,30.0
2015-01-04,Mickey's House and Meet Mickey Mouse,12.0,25.0
2015-01-04,Autopia,11.0,24.0
2015-01-04,Davy Crockett's Explorer Canoes,10.0,10.0
2015-01-04,Mark Twain Riverboat,10.0,10.0
2015-01-04,King Arthur Carrousel,8.0,10.0
2015-01-04,Splash Mountain,7.0,59.0
2015-01-04,Disneyland Monorail,6.0,10.0
2015-01-04,The Many Adventures of Winnie the Pooh,6.0,15.0
2015-01-04,Sailing Ship Columbia,6.0,10.0
2015-01-04,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-04,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-05,Peter Pan's Flight,39.0,45.0
2015-01-05,Alice in Wonderland,38.0,55.0
2015-01-05,Indiana Jones™ Adventure,38.0,141.0
2015-01-05,Roger Rabbit's Car Toon Spin,36.0,62.0
2015-01-05,Space Mountain,36.0,73.0
2015-01-05,Haunted Mansion Holiday,32.0,65.0
2015-01-05,Pirates of the Caribbean,32.0,40.0
2015-01-05,Splash Mountain,31.0,99.0
2015-01-05,"""it's a small world"" Holiday",31.0,45.0
2015-01-05,Star Tours - The Adventures Continue,29.0,54.0
2015-01-05,Jungle Cruise,29.0,45.0
2015-01-05,Astro Orbitor,27.0,50.0
2015-01-05,Matterhorn Bobsleds,25.0,45.0
2015-01-05,Fantasy Faire,24.0,45.0
2015-01-05,Finding Nemo Submarine Voyage,23.0,40.0
2015-01-05,Dumbo the Flying Elephant,22.0,35.0
2015-01-05,Autopia,20.0,47.0
2015-01-05,Big Thunder Mountain Railroad,19.0,40.0
2015-01-05,Storybook Land Canal Boats,18.0,25.0
2015-01-05,Mr. Toad's Wild Ride,16.0,20.0
2015-01-05,Disneyland Monorail,13.0,25.0
2015-01-05,Buzz Lightyear Astro Blasters,13.0,23.0
2015-01-05,Mickey's House and Meet Mickey Mouse,12.0,15.0
2015-01-05,Snow White's Enchanted Wish,12.0,15.0
2015-01-05,Casey Jr. Circus Train,11.0,15.0
2015-01-05,The Many Adventures of Winnie the Pooh,11.0,30.0
2015-01-05,Pinocchio's Daring Journey,10.0,15.0
2015-01-05,Mark Twain Riverboat,10.0,10.0
2015-01-05,Sailing Ship Columbia,10.0,10.0
2015-01-05,Mad Tea Party,9.0,20.0
2015-01-05,King Arthur Carrousel,7.0,10.0
2015-01-05,Chip 'n' Dale's GADGETcoaster,5.0,5.0
2015-01-05,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-05,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-06,Star Tours - The Adventures Continue,46.0,75.0
2015-01-06,Space Mountain,39.0,79.0
2015-01-06,Alice in Wonderland,37.0,45.0
2015-01-06,Peter Pan's Flight,36.0,40.0
2015-01-06,Indiana Jones™ Adventure,33.0,99.0
2015-01-06,Matterhorn Bobsleds,31.0,45.0
2015-01-06,Pirates of the Caribbean,31.0,45.0
2015-01-06,Jungle Cruise,28.0,45.0
2015-01-06,Roger Rabbit's Car Toon Spin,27.0,51.0
2015-01-06,Haunted Mansion Holiday,26.0,53.0
2015-01-06,Dumbo the Flying Elephant,24.0,30.0
2015-01-06,Big Thunder Mountain Railroad,24.0,36.0
2015-01-06,Storybook Land Canal Boats,24.0,25.0
2015-01-06,Splash Mountain,23.0,67.0
2015-01-06,"""it's a small world"" Holiday",23.0,40.0
2015-01-06,Finding Nemo Submarine Voyage,23.0,30.0
2015-01-06,Chip 'n' Dale's GADGETcoaster,22.0,25.0
2015-01-06,Astro Orbitor,21.0,40.0
2015-01-06,Autopia,20.0,34.0
2015-01-06,Fantasy Faire,20.0,60.0
2015-01-06,Mr. Toad's Wild Ride,18.0,20.0
2015-01-06,Snow White's Enchanted Wish,15.0,20.0
2015-01-06,Casey Jr. Circus Train,14.0,15.0
2015-01-06,Buzz Lightyear Astro Blasters,13.0,25.0
2015-01-06,Pinocchio's Daring Journey,10.0,15.0
2015-01-06,Mark Twain Riverboat,10.0,10.0
2015-01-06,The Many Adventures of Winnie the Pooh,9.0,25.0
2015-01-06,Mad Tea Party,9.0,10.0
2015-01-06,King Arthur Carrousel,8.0,10.0
2015-01-06,Disneyland Monorail,7.0,15.0
2015-01-06,Mickey's House and Meet Mickey Mouse,5.0,5.0
2015-01-06,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-06,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-07,Space Mountain,44.0,80.0
2015-01-07,Peter Pan's Flight,35.0,45.0
2015-01-07,Star Tours - The Adventures Continue,32.0,56.0
2015-01-07,Alice in Wonderland,30.0,40.0
2015-01-07,Indiana Jones™ Adventure,28.0,62.0
2015-01-07,Roger Rabbit's Car Toon Spin,23.0,42.0
2015-01-07,Pirates of the Caribbean,19.0,30.0
2015-01-07,Autopia,18.0,30.0
2015-01-07,Chip 'n' Dale's GADGETcoaster,17.0,30.0
2015-01-07,Big Thunder Mountain Railroad,16.0,30.0
2015-01-07,Storybook Land Canal Boats,16.0,30.0
2015-01-07,Haunted Mansion Holiday,16.0,40.0
2015-01-07,Finding Nemo Submarine Voyage,16.0,20.0
2015-01-07,Mr. Toad's Wild Ride,15.0,25.0
2015-01-07,Dumbo the Flying Elephant,14.0,20.0
2015-01-07,Fantasy Faire,13.0,30.0
2015-01-07,Astro Orbitor,13.0,25.0
2015-01-07,Splash Mountain,12.0,42.0
2015-01-07,Buzz Lightyear Astro Blasters,11.0,18.0
2015-01-07,"""it's a small world"" Holiday",11.0,20.0
2015-01-07,Pinocchio's Daring Journey,10.0,20.0
2015-01-07,Mark Twain Riverboat,10.0,10.0
2015-01-07,Mickey's House and Meet Mickey Mouse,9.0,10.0
2015-01-07,Casey Jr. Circus Train,9.0,10.0
2015-01-07,The Many Adventures of Winnie the Pooh,5.0,10.0
2015-01-07,Disneyland Monorail,5.0,5.0
2015-01-07,King Arthur Carrousel,5.0,5.0
2015-01-07,Mad Tea Party,5.0,5.0
2015-01-07,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-07,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-08,Peter Pan's Flight,38.0,40.0
2015-01-08,Space Mountain,34.0,61.0
2015-01-08,Alice in Wonderland,33.0,45.0
2015-01-08,Indiana Jones™ Adventure,30.0,46.0
2015-01-08,Star Tours - The Adventures Continue,25.0,56.0
2015-01-08,Storybook Land Canal Boats,22.0,40.0
2015-01-08,Finding Nemo Submarine Voyage,20.0,30.0
2015-01-08,Autopia,20.0,38.0
2015-01-08,Astro Orbitor,19.0,35.0
2015-01-08,Chip 'n' Dale's GADGETcoaster,19.0,30.0
2015-01-08,Fantasy Faire,18.0,40.0
2015-01-08,Roger Rabbit's Car Toon Spin,18.0,31.0
2015-01-08,Pirates of the Caribbean,17.0,20.0
2015-01-08,Big Thunder Mountain Railroad,17.0,31.0
2015-01-08,Haunted Mansion Holiday,16.0,33.0
2015-01-08,Mr. Toad's Wild Ride,15.0,20.0
2015-01-08,Dumbo the Flying Elephant,14.0,20.0
2015-01-08,Buzz Lightyear Astro Blasters,12.0,25.0
2015-01-08,Splash Mountain,11.0,32.0
2015-01-08,"""it's a small world"" Holiday",11.0,20.0
2015-01-08,Mickey's House and Meet Mickey Mouse,10.0,20.0
2015-01-08,Mark Twain Riverboat,10.0,10.0
2015-01-08,Pinocchio's Daring Journey,8.0,10.0
2015-01-08,Snow White's Enchanted Wish,8.0,10.0
2015-01-08,Mad Tea Party,8.0,10.0
2015-01-08,Casey Jr. Circus Train,6.0,10.0
2015-01-08,King Arthur Carrousel,5.0,10.0
2015-01-08,The Many Adventures of Winnie the Pooh,5.0,10.0
2015-01-08,Disneyland Monorail,5.0,5.0
2015-01-08,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-08,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-09,Space Mountain,38.0,62.0
2015-01-09,Peter Pan's Flight,37.0,50.0
2015-01-09,Alice in Wonderland,31.0,40.0
2015-01-09,Indiana Jones™ Adventure,25.0,52.0
2015-01-09,Storybook Land Canal Boats,22.0,30.0
2015-01-09,Pirates of the Caribbean,22.0,30.0
2015-01-09,Star Tours - The Adventures Continue,22.0,49.0
2015-01-09,Finding Nemo Submarine Voyage,20.0,25.0
2015-01-09,Dumbo the Flying Elephant,20.0,30.0
2015-01-09,Astro Orbitor,18.0,25.0
2015-01-09,Big Thunder Mountain Railroad,16.0,31.0
2015-01-09,Haunted Mansion Holiday,15.0,29.0
2015-01-09,Roger Rabbit's Car Toon Spin,15.0,33.0
2015-01-09,Chip 'n' Dale's GADGETcoaster,15.0,20.0
2015-01-09,"""it's a small world"" Holiday",15.0,30.0
2015-01-09,Mr. Toad's Wild Ride,14.0,25.0
2015-01-09,Autopia,14.0,21.0
2015-01-09,Casey Jr. Circus Train,14.0,20.0
2015-01-09,Buzz Lightyear Astro Blasters,12.0,19.0
2015-01-09,Pinocchio's Daring Journey,10.0,15.0
2015-01-09,Mark Twain Riverboat,10.0,10.0
2015-01-09,Fantasy Faire,9.0,15.0
2015-01-09,Mad Tea Party,8.0,10.0
2015-01-09,Splash Mountain,7.0,26.0
2015-01-09,Snow White's Enchanted Wish,7.0,10.0
2015-01-09,The Many Adventures of Winnie the Pooh,5.0,15.0
2015-01-09,Mickey's House and Meet Mickey Mouse,5.0,10.0
2015-01-09,King Arthur Carrousel,5.0,10.0
2015-01-09,Disneyland Monorail,5.0,5.0
2015-01-09,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-09,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-10,Peter Pan's Flight,36.0,40.0
2015-01-10,Indiana Jones™ Adventure,33.0,61.0
2015-01-10,Space Mountain,27.0,68.0
2015-01-10,Alice in Wonderland,24.0,50.0
2015-01-10,Star Tours - The Adventures Continue,24.0,41.0
2015-01-10,Pirates of the Caribbean,23.0,45.0
2015-01-10,Jungle Cruise,21.0,30.0
2015-01-10,Roger Rabbit's Car Toon Spin,20.0,41.0
2015-01-10,Big Thunder Mountain Railroad,20.0,45.0
2015-01-10,Haunted Mansion Holiday,19.0,33.0
2015-01-10,Finding Nemo Submarine Voyage,18.0,40.0
2015-01-10,Mr. Toad's Wild Ride,18.0,30.0
2015-01-10,Snow White's Enchanted Wish,18.0,25.0
2015-01-10,Autopia,17.0,30.0
2015-01-10,Storybook Land Canal Boats,17.0,35.0
2015-01-10,"""it's a small world"" Holiday",16.0,35.0
2015-01-10,Dumbo the Flying Elephant,15.0,35.0
2015-01-10,Buzz Lightyear Astro Blasters,14.0,29.0
2015-01-10,Astro Orbitor,14.0,25.0
2015-01-10,Mad Tea Party,12.0,25.0
2015-01-10,Mickey's House and Meet Mickey Mouse,12.0,25.0
2015-01-10,Chip 'n' Dale's GADGETcoaster,10.0,20.0
2015-01-10,Fantasy Faire,10.0,20.0
2015-01-10,Mark Twain Riverboat,10.0,10.0
2015-01-10,Sailing Ship Columbia,10.0,10.0
2015-01-10,King Arthur Carrousel,8.0,10.0
2015-01-10,Casey Jr. Circus Train,8.0,10.0
2015-01-10,The Many Adventures of Winnie the Pooh,5.0,15.0
2015-01-10,Disneyland Monorail,5.0,5.0
2015-01-10,Pinocchio's Daring Journey,5.0,5.0
2015-01-10,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-10,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-10,Splash Mountain,4.0,18.0
2015-01-11,Peter Pan's Flight,32.0,45.0
2015-01-11,Space Mountain,27.0,44.0
2015-01-11,Alice in Wonderland,23.0,30.0
2015-01-11,Star Tours - The Adventures Continue,17.0,63.0
2015-01-11,Indiana Jones™ Adventure,15.0,34.0
2015-01-11,Mr. Toad's Wild Ride,13.0,20.0
2015-01-11,Mickey's House and Meet Mickey Mouse,12.0,20.0
2015-01-11,Mark Twain Riverboat,10.0,10.0
2015-01-11,Big Thunder Mountain Railroad,9.0,17.0
2015-01-11,Storybook Land Canal Boats,8.0,20.0
2015-01-11,Haunted Mansion Holiday,7.0,13.0
2015-01-11,Astro Orbitor,7.0,15.0
2015-01-11,Pinocchio's Daring Journey,6.0,10.0
2015-01-11,Roger Rabbit's Car Toon Spin,6.0,11.0
2015-01-11,Finding Nemo Submarine Voyage,6.0,10.0
2015-01-11,Autopia,6.0,20.0
2015-01-11,"""it's a small world"" Holiday",6.0,10.0
2015-01-11,Jungle Cruise,5.0,10.0
2015-01-11,Casey Jr. Circus Train,5.0,5.0
2015-01-11,Chip 'n' Dale's GADGETcoaster,5.0,5.0
2015-01-11,Disneyland Monorail,5.0,5.0
2015-01-11,Dumbo the Flying Elephant,5.0,5.0
2015-01-11,Fantasy Faire,5.0,5.0
2015-01-11,King Arthur Carrousel,5.0,5.0
2015-01-11,Pirates of the Caribbean,5.0,5.0
2015-01-11,Snow White's Enchanted Wish,5.0,5.0
2015-01-11,The Many Adventures of Winnie the Pooh,5.0,5.0
2015-01-11,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-11,Buzz Lightyear Astro Blasters,4.0,11.0
2015-01-11,Splash Mountain,2.0,5.0
2015-01-11,Mad Tea Party,,
2015-01-12,Peter Pan's Flight,32.0,35.0
2015-01-12,Space Mountain,31.0,49.0
2015-01-12,Alice in Wonderland,28.0,30.0
2015-01-12,Indiana Jones™ Adventure,22.0,37.0
2015-01-12,Roger Rabbit's Car Toon Spin,21.0,29.0
2015-01-12,Autopia,20.0,39.0
2015-01-12,Storybook Land Canal Boats,18.0,30.0
2015-01-12,Dumbo the Flying Elephant,17.0,25.0
2015-01-12,Mr. Toad's Wild Ride,17.0,30.0
2015-01-12,Casey Jr. Circus Train,16.0,20.0
2015-01-12,Jungle Cruise,14.0,20.0
2015-01-12,Astro Orbitor,14.0,25.0
2015-01-12,Mickey's House and Meet Mickey Mouse,13.0,15.0
2015-01-12,Big Thunder Mountain Railroad,12.0,20.0
2015-01-12,Finding Nemo Submarine Voyage,12.0,20.0
2015-01-12,Fantasy Faire,12.0,15.0
2015-01-12,Chip 'n' Dale's GADGETcoaster,10.0,20.0
2015-01-12,Star Tours - The Adventures Continue,10.0,23.0
2015-01-12,Mark Twain Riverboat,10.0,10.0
2015-01-12,Mad Tea Party,8.0,10.0
2015-01-12,Pinocchio's Daring Journey,8.0,10.0
2015-01-12,Buzz Lightyear Astro Blasters,8.0,15.0
2015-01-12,Snow White's Enchanted Wish,6.0,10.0
2015-01-12,"""it's a small world"" Holiday",5.0,15.0
2015-01-12,Disneyland Monorail,5.0,5.0
2015-01-12,King Arthur Carrousel,5.0,5.0
2015-01-12,Pirates of the Caribbean,5.0,5.0
2015-01-12,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-13,Peter Pan's Flight,31.0,35.0
2015-01-13,Space Mountain,24.0,47.0
2015-01-13,Alice in Wonderland,22.0,40.0
2015-01-13,Roger Rabbit's Car Toon Spin,21.0,35.0
2015-01-13,Indiana Jones™ Adventure,21.0,45.0
2015-01-13,Jungle Cruise,19.0,30.0
2015-01-13,Dumbo the Flying Elephant,18.0,25.0
2015-01-13,Autopia,17.0,53.0
2015-01-13,Storybook Land Canal Boats,17.0,30.0
2015-01-13,Casey Jr. Circus Train,15.0,15.0
2015-01-13,Chip 'n' Dale's GADGETcoaster,14.0,20.0
2015-01-13,Star Tours - The Adventures Continue,13.0,22.0
2015-01-13,Astro Orbitor,13.0,25.0
2015-01-13,Finding Nemo Submarine Voyage,11.0,15.0
2015-01-13,Mickey's House and Meet Mickey Mouse,10.0,25.0
2015-01-13,Mark Twain Riverboat,10.0,10.0
2015-01-13,Mr. Toad's Wild Ride,10.0,10.0
2015-01-13,"""it's a small world"" Holiday",9.0,20.0
2015-01-13,Big Thunder Mountain Railroad,8.0,19.0
2015-01-13,Pinocchio's Daring Journey,6.0,10.0
2015-01-13,Pirates of the Caribbean,6.0,10.0
2015-01-13,Buzz Lightyear Astro Blasters,6.0,13.0
2015-01-13,Snow White's Enchanted Wish,6.0,15.0
2015-01-13,Disneyland Monorail,5.0,5.0
2015-01-13,Fantasy Faire,5.0,5.0
2015-01-13,King Arthur Carrousel,5.0,5.0
2015-01-13,Mad Tea Party,5.0,5.0
2015-01-13,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-14,Peter Pan's Flight,30.0,40.0
2015-01-14,Space Mountain,25.0,54.0
2015-01-14,Alice in Wonderland,22.0,25.0
2015-01-14,Indiana Jones™ Adventure,19.0,48.0
2015-01-14,Storybook Land Canal Boats,15.0,25.0
2015-01-14,Autopia,15.0,30.0
2015-01-14,Chip 'n' Dale's GADGETcoaster,14.0,20.0
2015-01-14,Roger Rabbit's Car Toon Spin,14.0,27.0
2015-01-14,Big Thunder Mountain Railroad,13.0,20.0
2015-01-14,Jungle Cruise,11.0,15.0
2015-01-14,Astro Orbitor,11.0,20.0
2015-01-14,Finding Nemo Submarine Voyage,11.0,20.0
2015-01-14,Star Tours - The Adventures Continue,10.0,26.0
2015-01-14,Mark Twain Riverboat,10.0,10.0
2015-01-14,Mr. Toad's Wild Ride,9.0,10.0
2015-01-14,Dumbo the Flying Elephant,9.0,10.0
2015-01-14,"""it's a small world"" Holiday",8.0,10.0
2015-01-14,Fantasy Faire,7.0,10.0
2015-01-14,Buzz Lightyear Astro Blasters,7.0,23.0
2015-01-14,Pinocchio's Daring Journey,6.0,10.0
2015-01-14,Pirates of the Caribbean,6.0,10.0
2015-01-14,Casey Jr. Circus Train,5.0,5.0
2015-01-14,Disneyland Monorail,5.0,5.0
2015-01-14,King Arthur Carrousel,5.0,5.0
2015-01-14,Mad Tea Party,5.0,5.0
2015-01-14,Mickey's House and Meet Mickey Mouse,5.0,5.0
2015-01-14,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-14,Snow White's Enchanted Wish,5.0,5.0
2015-01-14,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-15,Space Mountain,30.0,58.0
2015-01-15,Peter Pan's Flight,30.0,35.0
2015-01-15,Alice in Wonderland,25.0,30.0
2015-01-15,Indiana Jones™ Adventure,25.0,57.0
2015-01-15,Autopia,20.0,36.0
2015-01-15,Storybook Land Canal Boats,16.0,25.0
2015-01-15,Roger Rabbit's Car Toon Spin,14.0,23.0
2015-01-15,Dumbo the Flying Elephant,14.0,15.0
2015-01-15,Star Tours - The Adventures Continue,11.0,27.0
2015-01-15,Chip 'n' Dale's GADGETcoaster,11.0,15.0
2015-01-15,Jungle Cruise,10.0,20.0
2015-01-15,Mark Twain Riverboat,10.0,10.0
2015-01-15,Astro Orbitor,9.0,15.0
2015-01-15,"""it's a small world"" Holiday",9.0,10.0
2015-01-15,Fantasy Faire,9.0,20.0
2015-01-15,Mr. Toad's Wild Ride,8.0,10.0
2015-01-15,Finding Nemo Submarine Voyage,8.0,10.0
2015-01-15,Pirates of the Caribbean,8.0,15.0
2015-01-15,Big Thunder Mountain Railroad,7.0,12.0
2015-01-15,Buzz Lightyear Astro Blasters,6.0,15.0
2015-01-15,Casey Jr. Circus Train,5.0,5.0
2015-01-15,Disneyland Monorail,5.0,5.0
2015-01-15,King Arthur Carrousel,5.0,5.0
2015-01-15,Mad Tea Party,5.0,5.0
2015-01-15,Mickey's House and Meet Mickey Mouse,5.0,5.0
2015-01-15,Pinocchio's Daring Journey,5.0,5.0
2015-01-15,Pirate's Lair on Tom Sawyer Island,5.0,5.0
2015-01-15,Snow White's Enchanted Wish,5.0,5.0
2015-01-15,Walt Disney's Enchanted Tiki Room,5.0,5.0
2015-01-16,Space Mountain,33.0,86.0
2015-01-16,Peter Pan's Flight,32.0,35.0
2015-01-16,Indiana Jones™ Adventure,29.0,60.0
2015-01-16,Alice in Wonderland,29.0,40.0
2015-01-16,Big Thunder Mountain Railroad,20.0,54.0
2015-01-16,Roger Rabbit's Car Toon Spin,20.0,31.0
2015-01-16,Astro Orbitor,20.0,30.0
2015-01-16,Finding Nemo Submarine Voyage,19.0,30.0
2015-01-16,Star Tours - The Adventures Continue,17.0,36.0
2015-01-16,Mr. Toad's Wild Ride,16.0,20.0
2015-01-16,Storybook Land Canal Boats,15.0,20.0
2015-01-16,Jungle Cruise,15.0,25.0
2015-01-16,Dumbo the Flying Elephant,15.0,20.0
2015-01-16,Autopia,13.0,31.0
