Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2017-01-03,WONDER WOMAN Lasso of Truth,10.0,10.0
2017-01-03,Speedy Gonzales Hot Rod Racers,9.0,15.0
2017-01-03,Road Runner Express,9.0,10.0
2017-01-03,Viper,9.0,10.0
2017-01-03,Canyon Blaster,7.0,10.0
2017-01-03,Daffy’s Adventure Tours,7.0,10.0
2017-01-03,Elmer's Weather Balloons,7.0,10.0
2017-01-03,Merrie Melodies Carousel,7.0,10.0
2017-01-03,Pepe LePew’s Tea Party,7.0,10.0
2017-01-03,Sylvester’s Pounce and Bounce,7.0,10.0
2017-01-03,The Looney Tunes Lodge,7.0,10.0
2017-01-03,Tweety’s Escape,7.0,10.0
2017-01-03,Whistlestop Train,7.0,10.0
2017-01-03,Yosemite Sam’s Flight School,7.0,10.0
2017-01-03,Swashbuckler,5.0,10.0
2017-01-03,Buccaneer,5.0,5.0
2017-01-03,Grand American Carousel,5.0,5.0
2017-01-03,Magic Flyer,5.0,5.0
2017-01-03,Cyclone 500,,
2017-01-03,Dive Devil,,
2017-01-03,Holiday Square,,
2017-01-03,NEW! Gleampunk District,,
2017-01-03,NEW! Santa's Star-Spangled Plaza,,
2017-01-03,Rockin' Universe,,
2017-01-03,SlingShot,,
2017-01-03,Snowy Nights,,
2017-01-03,The New Revolution – Classic,,
2017-01-03,Winter Wonderland,,
2017-01-03,Apocalypse,,
2017-01-03,GREEN LANTERN: First Flight,,
2017-01-03,Justice League: Battle for Metropolis,,
2017-01-03,LEX LUTHOR: Drop of Doom,,
2017-01-03,Roaring Rapids,,
2017-01-03,Tidal Wave,,
2017-01-04,X2,100.0,100.0
2017-01-04,Tatsu,70.0,70.0
2017-01-04,Twisted Colossus,35.0,35.0
2017-01-04,Full Throttle,29.0,55.0
2017-01-04,THE RIDDLER’S Revenge,22.0,25.0
2017-01-04,Ninja,20.0,20.0
2017-01-04,Goliath,19.0,20.0
2017-01-04,Gold Rusher,18.0,20.0
2017-01-04,Sandblasters,18.0,20.0
2017-01-04,BATMAN The Ride,17.0,20.0
2017-01-04,The New Revolution – Classic,10.0,15.0
2017-01-04,Buccaneer,10.0,10.0
2017-01-04,THE FLASH Speed Force,10.0,10.0
2017-01-04,WONDER WOMAN Lasso of Truth,10.0,10.0
2017-01-04,Scrambler,9.0,10.0
2017-01-04,Canyon Blaster,5.0,5.0
2017-01-04,Daffy’s Adventure Tours,5.0,5.0
2017-01-04,Elmer's Weather Balloons,5.0,5.0
2017-01-04,Grand American Carousel,5.0,5.0
2017-01-04,Jet Stream,5.0,5.0
2017-01-04,Magic Flyer,5.0,5.0
2017-01-04,Merrie Melodies Carousel,5.0,5.0
2017-01-04,Pepe LePew’s Tea Party,5.0,5.0
2017-01-04,Road Runner Express,5.0,5.0
2017-01-04,Scream,5.0,5.0
2017-01-04,Speedy Gonzales Hot Rod Racers,5.0,5.0
2017-01-04,Swashbuckler,5.0,5.0
2017-01-04,Sylvester’s Pounce and Bounce,5.0,5.0
2017-01-04,Taz’s Trucking Co.,5.0,5.0
2017-01-04,The Looney Tunes Lodge,5.0,5.0
2017-01-04,Tweety’s Escape,5.0,5.0
2017-01-04,Viper,5.0,5.0
2017-01-04,Whistlestop Train,5.0,5.0
2017-01-04,Yosemite Sam’s Flight School,5.0,5.0
2017-01-04,Cyclone 500,,
2017-01-04,Dive Devil,,
2017-01-04,SlingShot,,
2017-01-04,SUPERMAN: Escape from Krypton,,
2017-01-04,Apocalypse,,
2017-01-04,GREEN LANTERN: First Flight,,
2017-01-04,Justice League: Battle for Metropolis,,
2017-01-04,LEX LUTHOR: Drop of Doom,,
2017-01-04,Roaring Rapids,,
2017-01-04,Tidal Wave,,
2017-01-05,BATMAN The Ride,100.0,
2017-01-05,Buccaneer,100.0,
2017-01-05,Canyon Blaster,100.0,
2017-01-05,Cyclone 500,100.0,
2017-01-05,Daffy’s Adventure Tours,100.0,
2017-01-05,Dive Devil,100.0,
2017-01-05,Elmer's Weather Balloons,100.0,
2017-01-05,Full Throttle,100.0,
2017-01-05,Gold Rusher,100.0,
2017-01-05,Goliath,100.0,
2017-01-05,Grand American Carousel,100.0,
2017-01-05,Jet Stream,100.0,
2017-01-05,Magic Flyer,100.0,
2017-01-05,Merrie Melodies Carousel,100.0,
2017-01-05,Ninja,100.0,
2017-01-05,Pepe LePew’s Tea Party,100.0,
2017-01-05,Road Runner Express,100.0,
2017-01-05,Sandblasters,100.0,
