Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2015-01-04,Heimlich's Chew Chew Train,8.0,15.0
2015-01-04,"Luigi's Flying Tires, presented by Alamo",7.0,19.0
2015-01-04,Tuck and Roll's Drive 'Em Buggies,5.0,10.0
2015-01-04,Francis' Ladybug Boogie,5.0,10.0
2015-01-04,Grizzly River Run,5.0,22.0
2015-01-04,Animation Academy,5.0,5.0
2015-01-04,Golden Zephyr,5.0,5.0
2015-01-04,It's Tough to be a Bug!,5.0,5.0
2015-01-04,Jessie's Critter Carousel,5.0,5.0
2015-01-04,Jumpin' Jellyfish,5.0,5.0
2015-01-04,Silly Symphony Swings,5.0,5.0
2015-01-04,Turtle Talk with Crush,5.0,5.0
2015-01-04,The Little Mermaid - Ariel's Undersea Adventure,4.0,16.0
2015-01-04,Redwood Creek Challenge Trail,,
2015-01-05,Radiator Springs Racers,82.0,123.0
2015-01-05,Toy Story Midway Mania!,49.0,75.0
2015-01-05,Soarin' Around the World,39.0,87.0
2015-01-05,Pixar Pal-A-Round - Swinging,34.0,45.0
2015-01-05,Guardians of the Galaxy - Mission: BREAKOUT!,30.0,60.0
2015-01-05,Incredicoaster,28.0,61.0
2015-01-05,"Monsters, Inc. Mike & Sulley to the Rescue!",23.0,45.0
2015-01-05,Grizzly River Run,21.0,61.0
2015-01-05,Goofy's Sky School,21.0,50.0
2015-01-05,Mater's Jingle Jamboree,13.0,26.0
2015-01-05,Jumpin' Jellyfish,13.0,20.0
2015-01-05,"Luigi's Flying Tires, presented by Alamo",12.0,27.0
2015-01-05,Disney's Aladdin - A Musical Spectacular,12.0,20.0
2015-01-05,Silly Symphony Swings,11.0,15.0
2015-01-05,Disney Junior - Live on Stage!,10.0,14.0
2015-01-05,Heimlich's Chew Chew Train,10.0,20.0
2015-01-05,Tuck and Roll's Drive 'Em Buggies,9.0,15.0
2015-01-05,The Little Mermaid - Ariel's Undersea Adventure,8.0,21.0
2015-01-05,Flik's Flyers,5.0,10.0
2015-01-05,Animation Academy,5.0,5.0
2015-01-05,Francis' Ladybug Boogie,5.0,5.0
2015-01-05,Golden Zephyr,5.0,5.0
2015-01-05,It's Tough to be a Bug!,5.0,5.0
2015-01-05,Jessie's Critter Carousel,5.0,5.0
2015-01-05,Turtle Talk with Crush,5.0,5.0
2015-01-05,Redwood Creek Challenge Trail,,
2015-01-06,Radiator Springs Racers,84.0,135.0
2015-01-06,Toy Story Midway Mania!,47.0,60.0
2015-01-06,Guardians of the Galaxy - Mission: BREAKOUT!,30.0,49.0
2015-01-06,Pixar Pal-A-Round - Swinging,30.0,60.0
2015-01-06,"Monsters, Inc. Mike & Sulley to the Rescue!",22.0,40.0
2015-01-06,Jumpin' Jellyfish,20.0,20.0
2015-01-06,Incredicoaster,16.0,36.0
2015-01-06,Goofy's Sky School,14.0,31.0
2015-01-06,Disney's Aladdin - A Musical Spectacular,14.0,17.0
2015-01-06,Grizzly River Run,14.0,41.0
2015-01-06,Heimlich's Chew Chew Train,13.0,15.0
2015-01-06,Mater's Jingle Jamboree,11.0,21.0
2015-01-06,"Luigi's Flying Tires, presented by Alamo",10.0,22.0
2015-01-06,Tuck and Roll's Drive 'Em Buggies,10.0,10.0
2015-01-06,Disney Junior - Live on Stage!,9.0,14.0
2015-01-06,The Little Mermaid - Ariel's Undersea Adventure,8.0,29.0
2015-01-06,Silly Symphony Swings,8.0,15.0
2015-01-06,Animation Academy,5.0,5.0
2015-01-06,Flik's Flyers,5.0,5.0
2015-01-06,Golden Zephyr,5.0,5.0
2015-01-06,It's Tough to be a Bug!,5.0,5.0
2015-01-06,Jessie's Critter Carousel,5.0,5.0
2015-01-06,Turtle Talk with Crush,5.0,5.0
2015-01-06,Redwood Creek Challenge Trail,,
2015-01-07,Radiator Springs Racers,65.0,106.0
2015-01-07,Toy Story Midway Mania!,44.0,50.0
2015-01-07,Guardians of the Galaxy - Mission: BREAKOUT!,33.0,60.0
2015-01-07,Pixar Pal-A-Round - Swinging,29.0,60.0
2015-01-07,"Monsters, Inc. Mike & Sulley to the Rescue!",20.0,25.0
2015-01-07,Incredicoaster,18.0,36.0
2015-01-07,Goofy's Sky School,15.0,36.0
2015-01-07,Disney's Aladdin - A Musical Spectacular,14.0,17.0
2015-01-07,Grizzly River Run,14.0,43.0
2015-01-07,Mater's Jingle Jamboree,11.0,35.0
2015-01-07,Jumpin' Jellyfish,10.0,20.0
2015-01-07,Disney Junior - Live on Stage!,10.0,15.0
2015-01-07,"Luigi's Flying Tires, presented by Alamo",9.0,23.0
2015-01-07,Tuck and Roll's Drive 'Em Buggies,5.0,10.0
2015-01-07,The Little Mermaid - Ariel's Undersea Adventure,5.0,12.0
2015-01-07,Animation Academy,5.0,5.0
2015-01-07,Flik's Flyers,5.0,5.0
2015-01-07,Francis' Ladybug Boogie,5.0,5.0
2015-01-07,Golden Zephyr,5.0,5.0
2015-01-07,Heimlich's Chew Chew Train,5.0,5.0
2015-01-07,It's Tough to be a Bug!,5.0,5.0
2015-01-07,Jessie's Critter Carousel,5.0,5.0
2015-01-07,Silly Symphony Swings,5.0,5.0
2015-01-07,Turtle Talk with Crush,5.0,5.0
2015-01-07,Redwood Creek Challenge Trail,,
2015-01-08,Radiator Springs Racers,48.0,72.0
2015-01-08,Toy Story Midway Mania!,38.0,45.0
2015-01-08,Guardians of the Galaxy - Mission: BREAKOUT!,33.0,56.0
2015-01-08,Pixar Pal-A-Round - Swinging,21.0,45.0
2015-01-08,"Monsters, Inc. Mike & Sulley to the Rescue!",18.0,25.0
2015-01-08,Disney's Aladdin - A Musical Spectacular,14.0,17.0
2015-01-08,Goofy's Sky School,11.0,24.0
2015-01-08,Incredicoaster,11.0,24.0
2015-01-08,Heimlich's Chew Chew Train,9.0,15.0
2015-01-08,Mater's Jingle Jamboree,8.0,14.0
2015-01-08,Silly Symphony Swings,7.0,10.0
2015-01-08,"Luigi's Flying Tires, presented by Alamo",7.0,20.0
2015-01-08,Animation Academy,5.0,5.0
2015-01-08,Flik's Flyers,5.0,5.0
2015-01-08,Francis' Ladybug Boogie,5.0,5.0
2015-01-08,Golden Zephyr,5.0,5.0
2015-01-08,It's Tough to be a Bug!,5.0,5.0
2015-01-08,Jessie's Critter Carousel,5.0,5.0
2015-01-08,Jumpin' Jellyfish,5.0,5.0
2015-01-08,Tuck and Roll's Drive 'Em Buggies,5.0,5.0
2015-01-08,Turtle Talk with Crush,5.0,5.0
2015-01-08,The Little Mermaid - Ariel's Undersea Adventure,3.0,10.0
2015-01-08,Grizzly River Run,2.0,10.0
2015-01-08,Disney Junior - Live on Stage!,,
2015-01-09,Radiator Springs Racers,68.0,125.0
2015-01-09,Guardians of the Galaxy - Mission: BREAKOUT!,48.0,84.0
2015-01-09,Toy Story Midway Mania!,41.0,60.0
