Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-07-27,Harry Potter and the Forbidden Journey™,74.0,130.0
2018-07-27,Jurassic World — The Ride,68.0,100.0
2018-07-27,TRANSFORMERS™: The Ride-3D,62.0,95.0
2018-07-27,The Simpsons Ride™,52.0,80.0
2018-07-27,Studio Tour,51.0,70.0
2018-07-27,Revenge of the Mummy – The Ride,46.0,80.0
2018-07-27,Kung Fu Panda Adventure,40.0,70.0
2018-07-27,Flight of the Hippogriff™,38.0,65.0
2018-07-27,Despicable Me Minion Mayhem,37.0,65.0
2018-07-27,The Walking Dead Attraction,23.0,45.0
2018-07-27,Ollivanders™,23.0,40.0
2018-07-27,DinoPlay,,
2018-07-27,Super Silly Fun Land,,
2018-07-28,Harry Potter and the Forbidden Journey™,78.0,135.0
2018-07-28,Jurassic World — The Ride,75.0,125.0
2018-07-28,TRANSFORMERS™: The Ride-3D,67.0,110.0
2018-07-28,Studio Tour,60.0,90.0
2018-07-28,Revenge of the Mummy – The Ride,56.0,90.0
2018-07-28,The Simpsons Ride™,54.0,85.0
2018-07-28,Despicable Me Minion Mayhem,47.0,80.0
2018-07-28,Kung Fu Panda Adventure,44.0,75.0
2018-07-28,Flight of the Hippogriff™,42.0,80.0
2018-07-28,The Walking Dead Attraction,24.0,50.0
2018-07-28,Ollivanders™,23.0,50.0
2018-07-28,DinoPlay,,
2018-07-28,Super Silly Fun Land,,
2018-07-29,Jurassic World — The Ride,54.0,105.0
2018-07-29,TRANSFORMERS™: The Ride-3D,53.0,70.0
2018-07-29,The Simpsons Ride™,43.0,55.0
2018-07-29,Harry Potter and the Forbidden Journey™,41.0,85.0
2018-07-29,Revenge of the Mummy – The Ride,40.0,60.0
2018-07-29,Studio Tour,38.0,50.0
2018-07-29,Despicable Me Minion Mayhem,33.0,65.0
2018-07-29,Flight of the Hippogriff™,32.0,65.0
2018-07-29,Kung Fu Panda Adventure,32.0,60.0
2018-07-29,Ollivanders™,19.0,45.0
2018-07-29,The Walking Dead Attraction,10.0,35.0
2018-07-29,DinoPlay,,
2018-07-29,Super Silly Fun Land,,
2018-07-30,Harry Potter and the Forbidden Journey™,74.0,130.0
2018-07-30,Jurassic World — The Ride,60.0,90.0
2018-07-30,Studio Tour,55.0,85.0
2018-07-30,The Simpsons Ride™,52.0,80.0
2018-07-30,TRANSFORMERS™: The Ride-3D,52.0,75.0
2018-07-30,Revenge of the Mummy – The Ride,41.0,65.0
2018-07-30,Despicable Me Minion Mayhem,41.0,65.0
2018-07-30,Flight of the Hippogriff™,37.0,65.0
2018-07-30,Kung Fu Panda Adventure,35.0,65.0
2018-07-30,Ollivanders™,27.0,60.0
2018-07-30,The Walking Dead Attraction,13.0,45.0
2018-07-30,DinoPlay,,
2018-07-30,Super Silly Fun Land,,
2018-07-31,Jurassic World — The Ride,54.0,85.0
2018-07-31,Harry Potter and the Forbidden Journey™,45.0,110.0
2018-07-31,The Simpsons Ride™,43.0,60.0
2018-07-31,TRANSFORMERS™: The Ride-3D,41.0,70.0
2018-07-31,Despicable Me Minion Mayhem,36.0,60.0
2018-07-31,Revenge of the Mummy – The Ride,33.0,55.0
2018-07-31,Studio Tour,32.0,55.0
2018-07-31,Flight of the Hippogriff™,30.0,55.0
2018-07-31,Kung Fu Panda Adventure,26.0,50.0
2018-07-31,Ollivanders™,21.0,45.0
2018-07-31,The Walking Dead Attraction,11.0,40.0
2018-07-31,DinoPlay,,
2018-07-31,Super Silly Fun Land,,
2018-08-01,Jurassic World — The Ride,53.0,100.0
2018-08-01,TRANSFORMERS™: The Ride-3D,41.0,60.0
2018-08-01,The Simpsons Ride™,39.0,55.0
2018-08-01,Harry Potter and the Forbidden Journey™,39.0,90.0
2018-08-01,Flight of the Hippogriff™,34.0,65.0
2018-08-01,Revenge of the Mummy – The Ride,33.0,50.0
2018-08-01,Studio Tour,31.0,50.0
2018-08-01,Despicable Me Minion Mayhem,31.0,60.0
2018-08-01,Kung Fu Panda Adventure,26.0,50.0
2018-08-01,Ollivanders™,23.0,50.0
2018-08-01,The Walking Dead Attraction,13.0,25.0
2018-08-01,DinoPlay,,
2018-08-01,Super Silly Fun Land,,
2018-08-02,Harry Potter and the Forbidden Journey™,89.0,170.0
2018-08-02,Jurassic World — The Ride,57.0,100.0
2018-08-02,TRANSFORMERS™: The Ride-3D,57.0,90.0
2018-08-02,Studio Tour,51.0,95.0
2018-08-02,The Simpsons Ride™,49.0,70.0
2018-08-02,Revenge of the Mummy – The Ride,42.0,70.0
2018-08-02,Flight of the Hippogriff™,40.0,65.0
2018-08-02,Despicable Me Minion Mayhem,40.0,70.0
2018-08-02,Kung Fu Panda Adventure,33.0,70.0
2018-08-02,Ollivanders™,26.0,55.0
2018-08-02,The Walking Dead Attraction,15.0,50.0
2018-08-02,DinoPlay,,
2018-08-02,Super Silly Fun Land,,
2018-08-03,Harry Potter and the Forbidden Journey™,81.0,215.0
2018-08-03,Jurassic World — The Ride,64.0,90.0
2018-08-03,TRANSFORMERS™: The Ride-3D,54.0,100.0
2018-08-03,The Simpsons Ride™,47.0,65.0
2018-08-03,Revenge of the Mummy – The Ride,43.0,75.0
2018-08-03,Studio Tour,40.0,55.0
2018-08-03,Flight of the Hippogriff™,39.0,80.0
2018-08-03,Despicable Me Minion Mayhem,38.0,60.0
2018-08-03,Kung Fu Panda Adventure,31.0,60.0
2018-08-03,Ollivanders™,27.0,50.0
2018-08-03,The Walking Dead Attraction,17.0,35.0
2018-08-03,DinoPlay,,
2018-08-03,Super Silly Fun Land,,
2018-08-04,Harry Potter and the Forbidden Journey™,114.0,200.0
2018-08-04,Jurassic World — The Ride,86.0,120.0
2018-08-04,TRANSFORMERS™: The Ride-3D,73.0,120.0
2018-08-04,Revenge of the Mummy – The Ride,69.0,120.0
2018-08-04,Studio Tour,67.0,120.0
2018-08-04,Flight of the Hippogriff™,65.0,100.0
2018-08-04,The Simpsons Ride™,56.0,90.0
2018-08-04,Despicable Me Minion Mayhem,47.0,70.0
2018-08-04,Kung Fu Panda Adventure,44.0,75.0
2018-08-04,Ollivanders™,30.0,50.0
2018-08-04,The Walking Dead Attraction,18.0,50.0
2018-08-04,DinoPlay,,
2018-08-04,Super Silly Fun Land,,
2018-08-05,Harry Potter and the Forbidden Journey™,72.0,130.0
2018-08-05,Jurassic World — The Ride,62.0,95.0
2018-08-05,The Simpsons Ride™,52.0,65.0
2018-08-05,TRANSFORMERS™: The Ride-3D,49.0,70.0
2018-08-05,Studio Tour,43.0,90.0
2018-08-05,Revenge of the Mummy – The Ride,42.0,70.0
2018-08-05,Flight of the Hippogriff™,41.0,60.0
2018-08-05,Despicable Me Minion Mayhem,40.0,60.0
2018-08-05,Kung Fu Panda Adventure,32.0,60.0
2018-08-05,Ollivanders™,24.0,35.0
2018-08-05,The Walking Dead Attraction,17.0,40.0
2018-08-05,DinoPlay,,
2018-08-05,Super Silly Fun Land,,
2018-08-06,Jurassic World — The Ride,63.0,100.0
2018-08-06,Harry Potter and the Forbidden Journey™,62.0,110.0
2018-08-06,The Simpsons Ride™,50.0,80.0
2018-08-06,TRANSFORMERS™: The Ride-3D,49.0,75.0
2018-08-06,Studio Tour,45.0,80.0
2018-08-06,Revenge of the Mummy – The Ride,39.0,60.0
2018-08-06,Flight of the Hippogriff™,38.0,80.0
2018-08-06,Despicable Me Minion Mayhem,35.0,50.0
2018-08-06,Kung Fu Panda Adventure,34.0,55.0
2018-08-06,Ollivanders™,30.0,50.0
2018-08-06,The Walking Dead Attraction,13.0,50.0
2018-08-06,DinoPlay,,
2018-08-06,Super Silly Fun Land,,
2018-08-07,Harry Potter and the Forbidden Journey™,74.0,120.0
2018-08-07,Jurassic World — The Ride,65.0,85.0
2018-08-07,Revenge of the Mummy – The Ride,64.0,95.0
2018-08-07,The Simpsons Ride™,49.0,90.0
2018-08-07,TRANSFORMERS™: The Ride-3D,49.0,65.0
2018-08-07,Flight of the Hippogriff™,45.0,60.0
2018-08-07,Despicable Me Minion Mayhem,41.0,65.0
2018-08-07,Studio Tour,39.0,60.0
2018-08-07,Kung Fu Panda Adventure,33.0,70.0
2018-08-07,Ollivanders™,32.0,60.0
2018-08-07,The Walking Dead Attraction,16.0,35.0
2018-08-07,DinoPlay,,
2018-08-07,Super Silly Fun Land,,
2018-08-08,Harry Potter and the Forbidden Journey™,74.0,155.0
2018-08-08,Jurassic World — The Ride,60.0,100.0
2018-08-08,TRANSFORMERS™: The Ride-3D,53.0,85.0
2018-08-08,Revenge of the Mummy – The Ride,47.0,65.0
2018-08-08,The Simpsons Ride™,46.0,60.0
2018-08-08,Despicable Me Minion Mayhem,45.0,90.0
2018-08-08,Studio Tour,35.0,55.0
2018-08-08,Kung Fu Panda Adventure,31.0,60.0
2018-08-08,Ollivanders™,28.0,55.0
2018-08-08,Flight of the Hippogriff™,28.0,40.0
2018-08-08,The Walking Dead Attraction,15.0,45.0
2018-08-08,DinoPlay,,
2018-08-08,Super Silly Fun Land,,
2018-08-09,Harry Potter and the Forbidden Journey™,71.0,120.0
2018-08-09,Jurassic World — The Ride,62.0,75.0
2018-08-09,TRANSFORMERS™: The Ride-3D,47.0,65.0
2018-08-09,The Simpsons Ride™,44.0,60.0
2018-08-09,Studio Tour,42.0,65.0
2018-08-09,Revenge of the Mummy – The Ride,38.0,50.0
2018-08-09,Despicable Me Minion Mayhem,37.0,80.0
2018-08-09,Flight of the Hippogriff™,34.0,45.0
2018-08-09,Kung Fu Panda Adventure,29.0,45.0
2018-08-09,Ollivanders™,28.0,45.0
2018-08-09,The Walking Dead Attraction,14.0,45.0
2018-08-09,DinoPlay,,
2018-08-09,Super Silly Fun Land,,
2018-08-10,Harry Potter and the Forbidden Journey™,72.0,130.0
2018-08-10,Jurassic World — The Ride,64.0,100.0
2018-08-10,The Simpsons Ride™,57.0,75.0
2018-08-10,TRANSFORMERS™: The Ride-3D,53.0,85.0
2018-08-10,Studio Tour,44.0,60.0
2018-08-10,Despicable Me Minion Mayhem,43.0,60.0
2018-08-10,Revenge of the Mummy – The Ride,43.0,80.0
2018-08-10,Flight of the Hippogriff™,38.0,65.0
2018-08-10,Kung Fu Panda Adventure,33.0,70.0
2018-08-10,Ollivanders™,27.0,45.0
2018-08-10,The Walking Dead Attraction,16.0,30.0
2018-08-10,DinoPlay,,
2018-08-10,Super Silly Fun Land,,
2018-08-11,Jurassic World — The Ride,76.0,110.0
2018-08-11,Harry Potter and the Forbidden Journey™,71.0,120.0
2018-08-11,TRANSFORMERS™: The Ride-3D,60.0,110.0
2018-08-11,Studio Tour,59.0,90.0
2018-08-11,Revenge of the Mummy – The Ride,52.0,80.0
2018-08-11,The Simpsons Ride™,51.0,80.0
2018-08-11,Despicable Me Minion Mayhem,45.0,75.0
2018-08-11,Flight of the Hippogriff™,39.0,70.0
2018-08-11,Kung Fu Panda Adventure,32.0,65.0
2018-08-11,Ollivanders™,23.0,40.0
2018-08-11,The Walking Dead Attraction,15.0,50.0
2018-08-11,DinoPlay,,
2018-08-11,Super Silly Fun Land,,
2018-08-12,Harry Potter and the Forbidden Journey™,70.0,120.0
2018-08-12,Jurassic World — The Ride,69.0,110.0
2018-08-12,TRANSFORMERS™: The Ride-3D,55.0,80.0
2018-08-12,The Simpsons Ride™,54.0,70.0
2018-08-12,Revenge of the Mummy – The Ride,46.0,80.0
2018-08-12,Despicable Me Minion Mayhem,44.0,80.0
2018-08-12,Studio Tour,41.0,65.0
2018-08-12,Kung Fu Panda Adventure,39.0,65.0
2018-08-12,Flight of the Hippogriff™,36.0,60.0
2018-08-12,Ollivanders™,20.0,35.0
2018-08-12,The Walking Dead Attraction,16.0,30.0
2018-08-12,DinoPlay,,
2018-08-12,Super Silly Fun Land,,
2018-08-13,Harry Potter and the Forbidden Journey™,93.0,160.0
2018-08-13,Jurassic World — The Ride,65.0,100.0
2018-08-13,The Simpsons Ride™,60.0,80.0
2018-08-13,TRANSFORMERS™: The Ride-3D,54.0,75.0
2018-08-13,Revenge of the Mummy – The Ride,46.0,70.0
2018-08-13,Despicable Me Minion Mayhem,44.0,65.0
2018-08-13,Studio Tour,42.0,70.0
2018-08-13,Flight of the Hippogriff™,39.0,50.0
2018-08-13,Kung Fu Panda Adventure,36.0,65.0
2018-08-13,Ollivanders™,29.0,50.0
2018-08-13,The Walking Dead Attraction,14.0,45.0
2018-08-13,DinoPlay,,
2018-08-13,Super Silly Fun Land,,
2018-08-14,Harry Potter and the Forbidden Journey™,62.0,110.0
2018-08-14,Revenge of the Mummy – The Ride,61.0,95.0
2018-08-14,The Simpsons Ride™,54.0,70.0
2018-08-14,Jurassic World — The Ride,54.0,80.0
2018-08-14,TRANSFORMERS™: The Ride-3D,46.0,75.0
2018-08-14,Studio Tour,32.0,60.0
2018-08-14,Despicable Me Minion Mayhem,32.0,50.0
2018-08-14,Flight of the Hippogriff™,31.0,50.0
2018-08-14,Kung Fu Panda Adventure,29.0,55.0
2018-08-14,Ollivanders™,26.0,45.0
2018-08-14,The Walking Dead Attraction,15.0,35.0
2018-08-14,DinoPlay,,
2018-08-14,Super Silly Fun Land,,
2018-08-15,Harry Potter and the Forbidden Journey™,57.0,100.0
2018-08-15,Jurassic World — The Ride,54.0,90.0
2018-08-15,The Simpsons Ride™,39.0,55.0
2018-08-15,Revenge of the Mummy – The Ride,36.0,55.0
2018-08-15,TRANSFORMERS™: The Ride-3D,36.0,65.0
2018-08-15,Despicable Me Minion Mayhem,27.0,40.0
2018-08-15,Kung Fu Panda Adventure,27.0,55.0
2018-08-15,Studio Tour,25.0,50.0
2018-08-15,Flight of the Hippogriff™,24.0,40.0
2018-08-15,Ollivanders™,23.0,40.0
2018-08-15,The Walking Dead Attraction,13.0,35.0
2018-08-15,DinoPlay,,
2018-08-15,Super Silly Fun Land,,
2018-08-16,Harry Potter and the Forbidden Journey™,62.0,110.0
2018-08-16,Jurassic World — The Ride,49.0,85.0
2018-08-16,TRANSFORMERS™: The Ride-3D,48.0,75.0
2018-08-16,The Simpsons Ride™,37.0,60.0
2018-08-16,Revenge of the Mummy – The Ride,37.0,60.0
2018-08-16,Studio Tour,33.0,50.0
2018-08-16,Despicable Me Minion Mayhem,28.0,45.0
2018-08-16,Flight of the Hippogriff™,28.0,45.0
2018-08-16,Kung Fu Panda Adventure,27.0,45.0
2018-08-16,Ollivanders™,26.0,45.0
2018-08-16,The Walking Dead Attraction,12.0,30.0
2018-08-16,DinoPlay,,
2018-08-16,Super Silly Fun Land,,
2018-08-17,Jurassic World — The Ride,72.0,90.0
2018-08-17,Harry Potter and the Forbidden Journey™,71.0,125.0
2018-08-17,TRANSFORMERS™: The Ride-3D,52.0,85.0
2018-08-17,The Simpsons Ride™,46.0,60.0
2018-08-17,Revenge of the Mummy – The Ride,43.0,70.0
2018-08-17,Despicable Me Minion Mayhem,41.0,85.0
2018-08-17,Studio Tour,40.0,60.0
2018-08-17,Kung Fu Panda Adventure,34.0,65.0
2018-08-17,Flight of the Hippogriff™,30.0,50.0
2018-08-17,Ollivanders™,26.0,50.0
2018-08-17,The Walking Dead Attraction,15.0,30.0
2018-08-17,DinoPlay,,
2018-08-17,Super Silly Fun Land,,
2018-08-18,Harry Potter and the Forbidden Journey™,67.0,105.0
2018-08-18,Jurassic World — The Ride,53.0,90.0
2018-08-18,TRANSFORMERS™: The Ride-3D,49.0,75.0
2018-08-18,The Simpsons Ride™,49.0,70.0
2018-08-18,Studio Tour,42.0,60.0
2018-08-18,Revenge of the Mummy – The Ride,40.0,60.0
2018-08-18,Kung Fu Panda Adventure,30.0,60.0
2018-08-18,Despicable Me Minion Mayhem,30.0,45.0
2018-08-18,Flight of the Hippogriff™,30.0,50.0
2018-08-18,Ollivanders™,20.0,35.0
2018-08-18,The Walking Dead Attraction,15.0,40.0
