Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-07-20,Trick or Treat: Lights Out,,
2018-07-21,GhostRider,117.0,140.0
2018-07-21,Calico River Rapids,76.0,100.0
2018-07-21,HangTime,74.0,95.0
2018-07-21,Sierra Sidewinder,73.0,90.0
2018-07-21,Timber Mountain Log Ride,51.0,70.0
2018-07-21,Jaguar!,44.0,80.0
2018-07-21,Xcelerator The Ride,33.0,35.0
2018-07-21,Silver Bullet,32.0,35.0
2018-07-21,Voyage to the Iron Reef,32.0,45.0
2018-07-21,Pony Express,26.0,55.0
2018-07-21,Montezooma's Revenge,18.0,35.0
2018-07-21,Coast Rider,18.0,35.0
2018-07-21,Calico Mine Ride,18.0,20.0
2018-07-21,Supreme Scream,11.0,15.0
2018-07-21,Bloodline 1842,,
2018-07-21,Dark Ride,,
2018-07-21,Paranormal Inc.,,
2018-07-21,Pumpkin Eater,,
2018-07-21,Special Ops: Infected,,
2018-07-21,The Red Barn,,
2018-07-21,Trick or Treat: Lights Out,,
2018-07-22,GhostRider,75.0,90.0
2018-07-22,Calico River Rapids,56.0,90.0
2018-07-22,Xcelerator The Ride,56.0,60.0
2018-07-22,HangTime,49.0,80.0
2018-07-22,Timber Mountain Log Ride,34.0,45.0
2018-07-22,Sierra Sidewinder,27.0,30.0
2018-07-22,Coast Rider,18.0,20.0
2018-07-22,Silver Bullet,14.0,15.0
2018-07-22,Voyage to the Iron Reef,14.0,15.0
2018-07-22,Jaguar!,9.0,10.0
2018-07-22,Calico Mine Ride,5.0,5.0
2018-07-22,Montezooma's Revenge,5.0,5.0
2018-07-22,Pony Express,5.0,5.0
2018-07-22,Supreme Scream,5.0,5.0
2018-07-22,Bloodline 1842,,
2018-07-22,Dark Ride,,
2018-07-22,Paranormal Inc.,,
2018-07-22,Pumpkin Eater,,
2018-07-22,Special Ops: Infected,,
2018-07-22,The Red Barn,,
2018-07-22,Trick or Treat: Lights Out,,
2018-07-23,GhostRider,109.0,120.0
2018-07-23,Calico River Rapids,81.0,90.0
2018-07-23,Pony Express,60.0,60.0
2018-07-23,Xcelerator The Ride,46.0,60.0
2018-07-23,HangTime,45.0,45.0
2018-07-23,Timber Mountain Log Ride,40.0,40.0
2018-07-23,Voyage to the Iron Reef,32.0,35.0
2018-07-23,Calico Mine Ride,25.0,25.0
2018-07-23,Sierra Sidewinder,24.0,30.0
2018-07-23,Coast Rider,20.0,20.0
2018-07-23,Jaguar!,20.0,20.0
2018-07-23,Montezooma's Revenge,15.0,15.0
2018-07-23,Silver Bullet,15.0,15.0
2018-07-23,Supreme Scream,5.0,5.0
2018-07-23,Bloodline 1842,,
2018-07-23,Dark Ride,,
2018-07-23,Paranormal Inc.,,
2018-07-23,Pumpkin Eater,,
2018-07-23,Special Ops: Infected,,
2018-07-23,The Red Barn,,
2018-07-23,Trick or Treat: Lights Out,,
2018-07-24,GhostRider,59.0,90.0
2018-07-24,Sierra Sidewinder,37.0,40.0
2018-07-24,HangTime,36.0,40.0
2018-07-24,Calico River Rapids,30.0,30.0
2018-07-24,Timber Mountain Log Ride,27.0,30.0
2018-07-24,Xcelerator The Ride,20.0,25.0
2018-07-24,Pony Express,15.0,25.0
2018-07-24,Coast Rider,14.0,20.0
2018-07-24,Silver Bullet,12.0,15.0
2018-07-24,Jaguar!,10.0,10.0
2018-07-24,Montezooma's Revenge,10.0,10.0
2018-07-24,Voyage to the Iron Reef,7.0,10.0
2018-07-24,Calico Mine Ride,5.0,5.0
2018-07-24,Supreme Scream,5.0,5.0
2018-07-24,Bloodline 1842,,
2018-07-24,Dark Ride,,
2018-07-24,Paranormal Inc.,,
2018-07-24,Pumpkin Eater,,
2018-07-24,Special Ops: Infected,,
2018-07-24,The Red Barn,,
2018-07-24,Trick or Treat: Lights Out,,
2018-07-25,HangTime,58.0,70.0
2018-07-25,GhostRider,56.0,70.0
2018-07-25,Xcelerator The Ride,48.0,60.0
2018-07-25,Calico River Rapids,36.0,45.0
2018-07-25,Sierra Sidewinder,29.0,45.0
2018-07-25,Voyage to the Iron Reef,27.0,30.0
2018-07-25,Jaguar!,21.0,40.0
2018-07-25,Coast Rider,18.0,20.0
2018-07-25,Timber Mountain Log Ride,10.0,10.0
2018-07-25,Montezooma's Revenge,9.0,10.0
2018-07-25,Silver Bullet,8.0,10.0
2018-07-25,Pony Express,7.0,20.0
2018-07-25,Supreme Scream,6.0,15.0
2018-07-25,Calico Mine Ride,5.0,5.0
2018-07-25,Bloodline 1842,,
2018-07-25,Dark Ride,,
2018-07-25,Paranormal Inc.,,
2018-07-25,Pumpkin Eater,,
2018-07-25,Special Ops: Infected,,
2018-07-25,The Red Barn,,
2018-07-25,Trick or Treat: Lights Out,,
2018-07-26,GhostRider,74.0,130.0
2018-07-26,HangTime,60.0,70.0
2018-07-26,Xcelerator The Ride,55.0,65.0
2018-07-26,Sierra Sidewinder,40.0,40.0
2018-07-26,Calico River Rapids,34.0,50.0
2018-07-26,Pony Express,25.0,40.0
2018-07-26,Coast Rider,21.0,30.0
2018-07-26,Jaguar!,20.0,30.0
2018-07-26,Timber Mountain Log Ride,17.0,20.0
2018-07-26,Silver Bullet,17.0,20.0
2018-07-26,Voyage to the Iron Reef,13.0,20.0
2018-07-26,Supreme Scream,11.0,20.0
2018-07-26,Montezooma's Revenge,10.0,10.0
2018-07-26,Calico Mine Ride,5.0,5.0
2018-07-26,Bloodline 1842,,
2018-07-26,Dark Ride,,
2018-07-26,Paranormal Inc.,,
2018-07-26,Pumpkin Eater,,
2018-07-26,Special Ops: Infected,,
2018-07-26,The Red Barn,,
2018-07-26,Trick or Treat: Lights Out,,
