Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2024-01-03,Mickey's House and Meet Mickey Mouse,,
2024-01-03,Millennium Falcon: Smugglers Run,,
2024-01-03,Millennium Falcon: Smugglers Run Single Rider,,
2024-01-03,Pirate's Lair on Tom Sawyer Island,,
2024-01-03,Pirates of the Caribbean,,
2024-01-03,Roger Rabbit's Car Toon Spin,,
2024-01-03,Sailing Ship Columbia,,
2024-01-03,Splash Mountain,,
2024-01-03,Star Wars: Rise of the Resistance,,
2024-01-03,Storybook Land Canal Boats,,
2024-01-03,The Many Adventures of Winnie the Pooh,,
2024-01-03,Walt Disney's Enchanted Tiki Room,,
2024-01-04,Peter Pan's Flight,13.0,15.0
2024-01-04,Alice in Wonderland,5.0,5.0
2024-01-04,Buzz Lightyear Astro Blasters,5.0,5.0
2024-01-04,Dumbo the Flying Elephant,5.0,5.0
2024-01-04,King Arthur Carrousel,5.0,5.0
2024-01-04,Mad Tea Party,5.0,5.0
2024-01-04,Mr. Toad's Wild Ride,5.0,5.0
2024-01-04,Pinocchio's Daring Journey,5.0,5.0
2024-01-04,Snow White's Enchanted Wish,5.0,5.0
2024-01-04,Space Mountain,5.0,5.0
2024-01-04,Star Tours - The Adventures Continue,5.0,5.0
2024-01-04,Blue Bayou Restaurant,,
2024-01-04,Cafe Orleans,,
2024-01-04,Carnation Café,,
2024-01-04,Oga's Cantina at the Disneyland Resort,,
2024-01-04,River Belle Terrace,,
2024-01-04,Disneyland Monorail,,
2024-01-04,"""it's a small world""",,
2024-01-04,Adventureland Treehouse inspired by Walt Disney’s Swiss Family Robinson,,
2024-01-04,Astro Orbitor,,
2024-01-04,Autopia,,
2024-01-04,Big Thunder Mountain Railroad,,
2024-01-04,Casey Jr. Circus Train,,
2024-01-04,Chip 'n' Dale's GADGETcoaster,,
2024-01-04,Davy Crockett's Explorer Canoes,,
2024-01-04,Disneyland Railroad,,
2024-01-04,Finding Nemo Submarine Voyage,,
2024-01-04,Goofy's How-to-Play Yard,,
2024-01-04,Great Moments with Mr. Lincoln,,
2024-01-04,Haunted Mansion Holiday,,
2024-01-04,Indiana Jones™ Adventure,,
2024-01-04,Jungle Cruise,,
2024-01-04,Matterhorn Bobsleds,,
2024-01-04,Meet Tinker Bell in Pixie Hollow,,
